,Model,Threshold,Coverage,Precision,Recall,F1 score,ROC AUC
0,random_forest_model_v2,0.5,0.49649701597657264,0.5304614006271465,0.5210090195790863,0.5256927231696941,0.5248309756539198
1,random_forest_model_v2,0.52,0.4131297030804018,0.54185733512786,0.4428393341644057,0.48736986522475995,0.5248309756539198
2,random_forest_model_v2,0.54,0.3332097712866516,0.554121704305262,0.36525628803989146,0.44028993193670996,0.5248309756539198
3,random_forest_model_v2,0.56,0.25543981910516367,0.5510085618923233,0.2784336730952556,0.36993374902572096,0.5248309756539198
4,random_forest_model_v2,0.58,0.18560255032064352,0.5434391851408029,0.19953068856786682,0.29189015232782667,0.5248309756539198
5,random_forest_model_v2,0.6,0.12562553286132633,0.5367365004426085,0.13338710860159858,0.21367320568542228,0.5248309756539198
6,random_forest_model_v2,0.62,0.08373799903621604,0.518813634351483,0.08594265600938623,0.1474584801207851,0.5248309756539198
7,random_forest_model_v2,0.64,0.057271008636987066,0.515210355987055,0.05837060937156266,0.10486101962850743,0.5248309756539198
8,random_forest_model_v2,0.66,0.038180672424658044,0.516504854368932,0.039011512796069514,0.07254380582259494,0.5248309756539198
9,random_forest_model_v2,0.68,0.024317010786966676,0.5213414634146342,0.02507882965461612,0.0478555936472399,0.5248309756539198
0,xgb_classifier_model_v2,0.5,0.3775067650220558,0.5204241948153967,0.388648529735279,0.44498551698081523,0.5268877917131484
1,xgb_classifier_model_v2,0.52,0.3108944656559291,0.5104328126863003,0.3139253501503263,0.38875771885216126,0.5268877917131484
2,xgb_classifier_model_v2,0.54,0.25165882047670235,0.5050817498895271,0.25144826574759843,0.33574855576226376,0.5268877917131484
3,xgb_classifier_model_v2,0.56,0.19327575341957964,0.5042194092827004,0.19278433673095255,0.2789241950029176,0.5268877917131484
4,xgb_classifier_model_v2,0.58,0.14453052600363273,0.5050012823800974,0.1443865952922197,0.224566605839416,0.5268877917131484
5,xgb_classifier_model_v2,0.6,0.10849983319123697,0.5018790570550051,0.10772163965681601,0.1773726153103115,0.5268877917131484
6,xgb_classifier_model_v2,0.62,0.08662935092856879,0.49550706033376124,0.08491603725159493,0.14498560160260424,0.5268877917131484
7,xgb_classifier_model_v2,0.64,0.0714312191867146,0.5049299429164504,0.07135000366649556,0.12503212541763042,0.5268877917131484
8,xgb_classifier_model_v2,0.66,0.05808651814508656,0.5041480536056159,0.05793062990393782,0.10392002104709287,0.5268877917131484
9,xgb_classifier_model_v2,0.68,0.046521110575675574,0.5083665338645418,0.046784483390775095,0.0856835885038947,0.5268877917131484
0,voting_classifier_v2,0.5,0.4321829706787263,0.5368384938673986,0.4589719146439833,0.4948608475648324,0.5294731108450321
1,voting_classifier_v2,0.52,0.35682247840753234,0.5368792852690629,0.37896898144753244,0.4443107079912307,0.5294731108450321
2,voting_classifier_v2,0.54,0.28186974089038813,0.5326144134665965,0.2969861406467698,0.3813379784379266,0.5294731108450321
3,voting_classifier_v2,0.56,0.206286836935167,0.5185983827493261,0.21163012392755004,0.3005936881574836,0.5294731108450321
4,voting_classifier_v2,0.58,0.1388590280609408,0.506940736785905,0.13925350150326318,0.2184893286544325,0.5294731108450321
5,voting_classifier_v2,0.6,0.09567409274567223,0.5048430840759396,0.09554887438586199,0.16068565791096312,0.5294731108450321
6,voting_classifier_v2,0.62,0.07117173888868296,0.49583333333333335,0.06981007552980861,0.12238863534100407,0.5294731108450321
7,voting_classifier_v2,0.64,0.05419431367461171,0.49726402188782487,0.053310845493876956,0.09629776806411021,0.5294731108450321
8,voting_classifier_v2,0.66,0.04255476887719168,0.509581881533101,0.042897998093422304,0.07913425769360838,0.5294731108450321
9,voting_classifier_v2,0.68,0.033324683990065614,0.5172413793103449,0.03409840874092542,0.063979086406164,0.5294731108450321
