,Precision,Precision,Precision,Coverage,Coverage,Coverage
Model,random_forest_model_v1,voting_classifier_v1,xgb_classifier_model_v1,random_forest_model_v1,voting_classifier_v1,xgb_classifier_model_v1
Threshold,,,,,,
0.5,0.5023802439750075,0.5035504785427601,0.5032486224196069,0.5003721899657585,0.4822093196367426,0.4525457793657883
0.53,0.49783911891816535,0.5021478634411033,0.5338908450704225,0.26697186243858867,0.1646196218549948,0.08456156022033647
0.55,0.5039426523297491,0.5393120393120393,0.5534246575342465,0.15576150066994193,0.06059252642548757,0.02716986750037219
0.57,0.516309412861137,0.5805309734513274,0.5748502994011976,0.07987196665177906,0.021028733065356558,0.012431144856334673
0.6,0.5522827687776142,0.6375,0.5882352941176471,0.025271698675003722,0.0059550394521363705,0.0056945064761054045
0.65,0.5833333333333334,0.5918367346938775,0.5961538461538461,0.003573023671281822,0.0018237308322167634,0.0019353878219443203
