,Model,Threshold,Coverage,Precision,Recall,F1 score,ROC AUC
0,XGBoost Classifier,0.5,0.5222226340957111,0.5134866553094832,0.5304685781330205,0.5218394950405771,0.5075009078286992
1,XGBoost Classifier,0.52,0.41364866367646513,0.5297965767541895,0.4335264354330131,0.4768511050169382,0.5075009078286992
2,XGBoost Classifier,0.54,0.3184193942988472,0.5372526193247963,0.33841754051477596,0.4152607189454267,0.5075009078286992
3,XGBoost Classifier,0.56,0.23590465952478037,0.5403834066624764,0.2521815648603065,0.34388280585970704,0.5075009078286992
4,XGBoost Classifier,0.58,0.17867071950179783,0.5408713692946058,0.1911710786829948,0.2824944465514439,0.5075009078286992
5,XGBoost Classifier,0.6,0.13355821625829412,0.5487094088259784,0.14497323458238615,0.22935034802784224,0.5075009078286992
6,XGBoost Classifier,0.62,0.10979723468139527,0.5735989196488859,0.1245875192491017,0.2047111271763359,0.5075009078286992
7,XGBoost Classifier,0.64,0.08885346776884012,0.5773884021693784,0.1014885971987974,0.17263315454658848,0.5075009078286992
8,XGBoost Classifier,0.66,0.0749156689031397,0.5690252350321623,0.08432939796142847,0.14688976880827692,0.5075009078286992
9,XGBoost Classifier,0.68,0.05208140267635393,0.6035587188612099,0.062183764757644644,0.1127509639675575,0.5075009078286992
