,mean_precision,mean_recall,mean_roc_auc,mean_f1_score,mean_coverage,std_precision,std_recall,std_roc_auc,std_f1_score,std_coverage,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,qual
97,0.597496588,0.280543466,0.543842315,0.366664266,0.261779683,0.067460774,0.117575334,0.017869862,0.110342006,0.109096364,5,0.1,150,0.8,1,FAIL
98,0.596188599,0.267247776,0.539930152,0.356338179,0.25138359,0.063076577,0.101114824,0.021962783,0.09108997,0.096540515,5,0.1,150,1,0.8,FAIL
99,0.60105811,0.270270331,0.546118949,0.359373964,0.251262089,0.061765554,0.107968809,0.015313405,0.103065501,0.100532868,5,0.1,150,1,1,FAIL
100,0.595795015,0.289840679,0.542872556,0.379014082,0.272458911,0.06524416,0.097709721,0.023740321,0.085394886,0.092963588,5,0.1,250,0.8,0.8,FAIL
101,0.594981411,0.289833931,0.540137539,0.376656572,0.272218931,0.068560759,0.10891722,0.016369674,0.098380528,0.103007747,5,0.1,250,0.8,1,FAIL
102,0.596781502,0.281371391,0.53978438,0.371387741,0.264229308,0.06438401,0.094746291,0.021510999,0.081520462,0.090132043,5,0.1,250,1,0.8,FAIL
103,0.602669816,0.287613299,0.545172872,0.378520415,0.266883042,0.065171492,0.097452382,0.016498282,0.088341474,0.09113921,5,0.1,250,1,1,FAIL
104,0.595049468,0.293368899,0.541237146,0.383009416,0.276248989,0.064536087,0.092181985,0.023236654,0.078833807,0.088438484,5,0.1,350,0.8,0.8,FAIL
105,0.595564548,0.300134276,0.539586839,0.387410063,0.281949647,0.07126551,0.103475282,0.017606641,0.090860491,0.098495606,5,0.1,350,0.8,1,FAIL
106,0.594781744,0.285641231,0.537752445,0.374740456,0.269285669,0.064670956,0.095971646,0.020867262,0.081677306,0.092570867,5,0.1,350,1,0.8,FAIL
107,0.599498712,0.291710312,0.542455836,0.382142632,0.27207724,0.066512872,0.095215455,0.016889286,0.084613101,0.089265302,5,0.1,350,1,1,FAIL
