,model_name,precision,recall,f1_score,roc_auc,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,Test_Year
0,XG Boost Classifier,0.5980575270825551,0.24213551119177254,0.3447087953493379,0.5713105258423549,3,0.03,150,0.8,0.8,2019
1,XG Boost Classifier,0.6302423450877956,0.2755535816255314,0.38345399964683025,0.5918170182994852,3,0.03,150,0.8,0.8,2020
2,XG Boost Classifier,0.56409666283084,0.16699598010492608,0.2577016086636526,0.5205608738405638,3,0.03,150,0.8,0.8,2021
3,XG Boost Classifier,0.4833823529411765,0.2376717281272596,0.31866214251090647,0.5140019051469242,3,0.03,150,0.8,0.8,2022
4,XG Boost Classifier,0.7767295597484277,0.07381948595337717,0.13482532751091705,0.5383259014650305,3,0.03,150,0.8,0.8,2023
5,XG Boost Classifier,0.6815286624203821,0.07631954350927246,0.1372674791533034,0.5265486949514719,3,0.03,150,0.8,0.8,2024
6,XG Boost Classifier,0.5986604842864502,0.08520935689667815,0.14918474772114518,0.5223678602144993,3,0.03,150,0.8,0.8,2025
